grazed,elev,stressmn,dol,par1,par2,par3,par4,par5,sol1,sol2,sol3,sol4,sol5,mass,mass2,masslog,rich,rich2,richlog
1,19.2,15.283,1,0,1,0,0,0,1,0,0,0,0,461.6,213074.6,6.1369,6,36,0.8451
1,18.8,15.833,1,0,1,0,0,0,1,0,0,0,0,704.8,496743,6.5593,2,4,0.4771
1,12.5,25.658,1.5,0,1,0,0,0,1,0,0,0,0,1278.8,1635329.4,7.1545,1,1,0.301
1,38.2,39.908,6,0,1,0,0,0,1,0,0,0,0,76.4,5837,4.349,6,36,0.8451
1,37.4,20.667,2.5,0,0,1,0,0,1,0,0,0,0,291.16,84774.1,5.6773,14,196,1.1761
1,38,11.467,4,0,0,0,1,0,1,0,0,0,0,327.08,106981.3,5.7933,12,144,1.1139
1,23.3,12.067,1,0,1,0,0,0,1,0,0,0,0,286.8,82254.2,5.6623,6,36,0.8451
1,40.2,0.8917,4,0,1,0,0,0,1,0,0,0,0,262.4,68853.8,5.5737,10,100,1.0414
1,39.8,0.8583,2,0,1,0,0,0,1,0,0,0,0,62.4,3893.8,4.1495,10,100,1.0414
1,42.6,6.6,3,0,0,0,1,0,1,0,0,0,0,351.84,123791.4,5.866,17,289,1.2553
1,45,1.75,4,0,0,1,0,0,1,0,0,0,0,458.04,209800.6,6.1291,12,144,1.1139
1,48.3,1.7583,7,0,1,0,0,0,1,0,0,0,0,322.4,103941.8,5.7789,6,36,0.8451
1,49.4,1.7583,6,0,1,0,0,0,1,0,0,0,0,506,256036,6.2285,9,81,1
1,71.4,1.5333,3.5,0,0,1,0,0,0,1,0,0,0,259.39,67282.1,5.5622,25,625,1.415
1,71.4,1.4167,4.5,0,0,0,1,0,0,1,0,0,0,233.78,54654.8,5.4587,20,400,1.3222
1,71,1.5917,3,0,0,0,1,0,0,1,0,0,0,293.71,86263.7,5.686,20,400,1.3222
1,71,1.9833,5,0,0,1,0,0,0,1,0,0,0,330.91,109499.8,5.8049,22,484,1.3617
1,74.2,1.6667,4,0,1,0,0,0,0,1,0,0,0,78.8,6209.4,4.3795,13,169,1.1461
1,75,1.5667,3.5,0,1,0,0,0,0,1,0,0,0,163.2,26634.2,5.1011,5,25,0.7782
1,75.6,1.375,4,0,1,0,0,0,0,1,0,0,0,84.8,7191,4.452,14,196,1.1761
1,76,1.1167,3.5,0,1,0,0,0,0,1,0,0,0,80.4,6464.2,4.3994,14,196,1.1761
1,5.5,0.805,3,0,1,0,0,0,1,0,0,0,0,398.8,159041.4,5.991,7,49,0.9031
1,72.4,0.5167,3,0,1,0,0,0,0,1,0,0,0,164,26896,5.1059,17,289,1.2553
1,71.2,0.4267,3,0,1,0,0,0,0,1,0,0,0,557.6,310917.8,6.3254,8,64,0.9542
1,71.2,0.0417,8,0,1,0,0,0,0,1,0,0,0,195.6,38259.4,5.2812,11,121,1.0792
1,71.4,0.0417,3.5,0,0,1,0,0,0,1,0,0,0,332.68,110676,5.8102,20,400,1.3222
1,71.4,0.0333,3,0,1,0,0,0,0,1,0,0,0,128.4,16486.6,4.8629,17,289,1.2553
1,72.2,0.0333,3.5,0,1,0,0,0,0,1,0,0,0,101.6,10322.6,4.6308,9,81,1
1,81.4,0.025,3,0,1,0,0,0,0,1,0,0,0,199.6,39840.2,5.3013,15,225,1.2041
1,80.6,0.025,3,0,1,0,0,0,0,1,0,0,0,346,119716,5.8493,8,64,0.9542
1,15.4,0.0167,3,0,1,0,0,0,1,0,0,0,0,238.8,57025.4,5.4798,3,9,0.6021
1,78,0.0417,8,0,1,0,0,0,0,1,0,0,0,304.4,92659.4,5.7216,9,81,1
1,78,0.0417,7,0,1,0,0,0,0,1,0,0,0,105.6,11151.4,4.6691,12,144,1.1139
1,78,0.0333,4,0,1,0,0,0,0,1,0,0,0,396.4,157133,5.9849,15,225,1.2041
1,78,0.0333,6.5,0,1,0,0,0,0,1,0,0,0,158.4,25090.6,5.0714,18,324,1.2788
1,78.4,0.0417,5,0,1,0,0,0,0,1,0,0,0,69.2,4788.6,4.2513,13,169,1.1461
1,22.6,0.0417,3,0,1,0,0,0,1,0,0,0,0,273.6,74857,5.6153,7,49,0.9031
1,22,0.0333,5,0,1,0,0,0,1,0,0,0,0,296.8,88090.2,5.6964,4,16,0.699
1,25,0.025,2,0,1,0,0,0,1,0,0,0,0,182,33124,5.2095,7,49,0.9031
1,28.5,0.0133,6,0,1,0,0,0,1,0,0,0,0,240.8,57984.6,5.4881,5,25,0.7782
1,44.3,0.0133,4,0,1,0,0,0,1,0,0,0,0,99.2,9840.6,4.6072,7,49,0.9031
1,44.7,0.0133,6.5,0,1,0,0,0,1,0,0,0,0,66.4,4409,4.2106,7,49,0.9031
1,28.3,0.0417,3,0,0,1,0,0,1,0,0,0,0,391.92,153598.8,5.9736,13,169,1.1461
1,34.7,0.025,3.5,0,0,0,1,0,1,0,0,0,0,651.98,425083.1,6.4816,10,100,1.0414
1,39,0.015,4,0,0,0,1,0,1,0,0,0,0,320.61,102792.1,5.7733,11,121,1.0792
1,39,0.015,2.5,0,1,0,0,0,1,0,0,0,0,62,3844,4.1431,8,64,0.9542
1,39,0.015,2,0,1,0,0,0,1,0,0,0,0,171.6,29446.6,5.151,7,49,0.9031
1,39.9,0.015,4,0,0,0,1,0,1,0,0,0,0,380.38,144689.2,5.9438,9,81,1
1,40.5,0.015,3,0,1,0,0,0,1,0,0,0,0,119.6,14304.2,4.7925,9,81,1
1,71.7,0.0417,2,0,0,0,0,1,0,0,1,0,0,90,8100,4.5109,12,144,1.1139
1,80.7,0.0133,2.5,0,0,1,0,0,0,0,1,0,0,99.2,9840.6,4.6072,10,100,1.0414
1,80.4,0.0133,4.5,0,1,0,0,0,0,0,1,0,0,66.8,4462.2,4.2166,11,121,1.0792
1,79.5,0.015,4.5,0,0,0,0,1,0,0,1,0,0,53.6,2873,4,14,196,1.1761
1,70.2,0.0417,5,0,0,0,0,1,0,0,1,0,0,80,6400,4.3944,7,49,0.9031
1,70.2,0.0417,3,0,0,0,0,1,0,0,1,0,0,41.6,1730.6,3.7519,9,81,1
1,42,1.175,2.5,0,0,1,0,0,0,0,1,0,0,110.63,12238.4,4.7152,9,81,1
1,40,1.5167,2.5,0,0,1,0,0,0,0,1,0,0,56.555,3198.5,4.0527,7,49,0.9031
1,39,1.75,2.5,0,0,1,0,0,0,0,1,0,0,82.688,6837.3,4.4271,8,64,0.9542
1,38,1.985,1.5,0,0,1,0,0,0,0,1,0,0,82.44,6796.4,4.4241,8,64,0.9542
1,36.4,2.6333,3,0,0,1,0,0,0,0,1,0,0,94.88,9002.2,4.5631,9,81,1
1,36.4,2.5817,5,0,1,0,0,0,0,0,1,0,0,166.8,27822.2,5.1228,7,49,0.9031
1,35.2,3.0417,2.5,0,0,1,0,0,0,0,1,0,0,157.5,24807.5,5.0658,13,169,1.1461
1,35.2,2.975,5,0,1,0,0,0,0,0,1,0,0,202.8,41127.8,5.3171,12,144,1.1139
1,27.5,1.6667,4,0,0,0,0,1,0,0,0,1,0,98,9604,4.5951,13,169,1.1461
1,27.5,1.4,3,0,0,0,0,1,0,0,0,1,0,200,40000,5.3033,13,169,1.1461
