siteno,pathdist,pathdistcoded,pathdistsqr,geneticdist,numbstems,numbinfl,clonediam,meanht,meanwidth,latitude,y1.std,y2.std
1,3392,3.392,11.505664,0.47263,15.375,1,12.49625,11.83012345,1.214804537,37.54,-0.83202501,-0.586190217
2,139,0.139,0.019321,0.00554,34.875,1.75,46.65625,35.50103893,4.328820072,29.34,1.049757616,0.592841163
3,408,0.408,0.166464,0.18589,45.25,4.5,53.25,48.74357627,6.269271251,28.15,1.412989588,1.220146321
4,221,0.221,0.048841,0.25973,16.125,1.75,21.375,42.90949938,4.575164934,29.53,-0.342918526,-0.540842856
5,635,0.635,0.403225,0.13122,24.25,1.75,22.5175,45.86901635,6.231427343,30.23,-0.27998127,-0.049579781
6,3855,3.855,14.861025,0.55,3.75,0,2.9,14.1474026,1.333766234,42.3,-1.360656641,-1.289074309
7,2542,2.542,6.461764,0.57697,26.625,0.875,30.09375,36.53419537,4.963453141,30.28,0.137373988,0.094020195
8,500,0.5,0.25,0.30742,41.25,2.375,25.8125,33.50727579,3.237204365,29.18,-0.098468573,0.97829373
9,3534,3.534,12.489156,0.54483,6.25,0.25,4.44375,9.33983631,0.622581845,39.42,-1.275615601,-1.13791644
10,3543,3.543,12.552849,0.63419,21.75,0.875,19.8125,18.68241226,1.784045766,39,-0.428992453,-0.20073765
11,10,0.01,0.0001,-0.04145,47,3.625,60.96875,35.31507126,4.325952473,29.5,1.838194789,1.325956829
12,318,0.318,0.101124,0.24443,22.125,3.75,31.5625,46.54074039,5.368855472,29.15,0.218283479,-0.17806397
13,1226,1.226,1.503076,0.60443,9.5,1,23.15625,29.35260547,4.642225355,29.57,-0.244794249,-0.94141121
14,3113,3.113,9.690769,0.53961,33.25,3.625,33.09375,31.78647355,3.625699139,35.23,0.302635928,0.494588548
15,4041,4.041,16.329681,0.53875,0,0,0,0,0,43.21,-1.52040985,-1.515811113
16,182,0.182,0.033124,0.23441,45,6.125,44.90625,39.64818497,4.683679503,29.38,0.953354817,1.205030534
17,4400,4.4,19.36,0.48449,0.125,0,0.00875,1.6625,0.0875,44.54,-1.519927836,-1.50825322
18,660,0.66,0.4356,0.25837,7,0.375,14.15625,29.13783234,3.230401786,26.4,-0.740580069,-1.092569079
19,78,0.078,0.006084,0.0439,40.75,2,43.3125,29.53986929,2.958839244,29.43,0.865559412,0.948062156
20,75,0.075,0.005625,0.06854,59,8.875,61.8,49.56409025,5.229963183,29.41,1.883986118,2.051514602
21,1000,1,1,0.30504,18.375,0.75,19.9375,24.13919708,2.74085473,28,-0.422106539,-0.404800774
22,712,0.712,0.506944,0.24272,29.875,1.875,27.09375,36.35508745,4.602200082,30.24,-0.027887952,0.290525425
23,0,0,0,0,29.25,3.75,35.46,34.32099984,3.938158671,29.54,0.432986283,0.252735957
