site,hotspotYN,biomass.kg,leafN,landscape
1,0,0.432,0.985,4.84710876
2,0,0.5056,0.879,2.305152949
3,1,0.4592,1.172,6.800628913
4,0,0.466666667,0.903,4.708893233
5,0,0.478933333,0.8515,5.055515235
6,0,0.470933333,0.872666667,5.404605139
7,0,0.324266667,0.9475,1.635949774
8,0,0.546666667,0.7595,4.859438034
9,0,0.4448,0.7215,5.952981812
10,0,0.536,0.764,2.262266256
11,0,0.434666667,0.986,5.568557782
12,0,0.5888,0.517333333,7.654107714
13,0,0.706133333,0.6485,5.624350899
14,0,0.656533333,0.728,5.014047687
15,0,0.453333333,0.76,2.363567771
16,0,0.417066667,1.017,5.29832544
17,0,0.530666667,0.5995,4.060335404
18,0,0.4128,0.732666667,2.861579034
19,0,0.845866667,0.560333333,7.290033135
20,0,0.437333333,0.625,8.579603097
21,0,0.478933333,0.752666667,2.65033578
22,0,0.159466667,1.327666667,5.172120351
23,0,0.750933333,0.518,1.808559242
24,0,0.557866667,0.8995,1.200182173
25,0,0.635733333,0.837333333,5.024639697
26,0,0.610666667,0.607,4.596853394
27,1,0.210666667,0.732,5.987911927
28,0,0.853333333,0.573333333,4.840992432
29,1,0.122133333,0.833,7.670602816
30,0,0.725333333,0.7425,5.646507487
31,0,0.432533333,1.295,4.706737499
32,0,0.4192,0.903666667,2.262328904
33,0,0.4688,0.7325,3.973018873
34,0,0.730133333,0.7195,6.029453718
35,0,0.307733333,0.877666667,5.383323675
36,0,0.328533333,1.048,2.659972093
37,0,0.332266667,0.8505,6.338201943
38,0,0.424,0.6805,6.205272616
39,0,0.3232,0.7465,5.83864846
40,1,0.501866667,0.663,8.448331995
41,0,0.515733333,0.666333333,7.571840071
42,0,0.35472,0.684,3.909180876
43,0,0.234186667,0.572,1.522087832
44,0,0.613493333,0.4765,4.613666774
45,0,0.348106667,0.457333333,6.258491858
46,1,0.234826667,1.048,6.832811622
47,0,0.14512,0.9035,4.412462776
48,1,0.284106667,0.827,7.150106367
49,1,0.134293333,0.9475,5.199750065
50,0,0.997653333,0.508333333,7.294029085
51,0,0.189386667,0.778333333,6.40864403
52,1,0.33984,1.022333333,6.06736741
53,1,0.21328,0.975,6.409728489
54,0,0.26128,0.521666667,7.511149156
55,0,1.016906667,0.475,6.970435173
56,0,0.449226667,0.5915,7.328185855
57,0,0.154293333,0.8875,5.50001573
58,0,0.50064,0.6385,2.84624027
59,0,0.242026667,0.793,3.226054423
60,1,0.393706667,1.239666667,5.002556287
61,1,0.332213333,0.696,7.707449433
62,0,0.238773333,0.833,5.491933153
63,0,0.240426667,0.704,7.538572428
64,1,0.043573333,1.268,6.750829699
65,0,0.381866667,0.708333333,2.581540101
66,1,0.13824,0.894,5.555967605
99,1,0.2742,0.795,5.185638
