,x,y,richness,NDVI,temp,wet
1,2109.7,2093.52,13,0.48018,23.217,-0.0264378
2,2190.18,2105.71,21,0.48399,23.217,-0.0234048
3,2064.48,2052.77,30,0.489213,23.217,-0.0189264
4,2277.34,2103.42,13,0.473226,23.217,-0.0280431
5,2347.91,2074.81,13,0.405898,23.635,-0.0292287
6,2437.21,2086.95,6,0.424769,23.217,-0.0229209
7,2550,2051.68,16,0.448272,22.798,-0.018168
8,2457.04,2059.33,21,0.448272,23.217,-0.0179054
9,2103.09,2019.63,18,0.46544,23.217,-0.0265979
10,2550,1946.86,13,0.347483,22.798,-0.0153049
11,2120,1996.47,22,0.46544,23.217,-0.0265979
12,2090,1964.58,20,0.461038,23.217,-0.0210237
13,2510,1923.75,24,0.420837,22.798,-0.018133
14,2100,1932.53,30,0.448272,23.217,-0.0255292
15,2076.59,1906.07,21,0.445506,23.217,-0.0142196
16,2524.34,1847.65,25,0.365633,22.798,-0.0122156
17,2092.02,1847.61,40,0.388558,22.798,-0.0165557
18,2478.01,1728.49,26,0.511548,22.798,-0.02904
19,2520,1689.98,21,0.501296,22.798,-0.0132491
20,2040.24,1704.23,24,0.388558,22.798,-0.0171531
21,2054.53,1620.42,27,0.47177,22.798,-0.0220714
22,2471.42,1638.11,20,0.584838,22.798,-0.0300619
23,2429.47,1596.13,14,0.546885,22.798,-0.0348369
24,2371.07,1571.97,18,0.506693,22.377,-0.0297147
25,2508.92,1584.08,11,0.490508,22.798,-0.0336724
26,2493.47,1552.04,7,0.495658,22.798,-0.0294323
27,2478,1974.41,22,0.530439,22.798,-0.0349435
28,2299.4,1998.74,13,0.462935,23.217,-0.0258728
29,1036.68,1710.32,41,0.479115,23.217,-0.0218772
30,1396.19,1658.48,28,0.427948,23.217,-0.0175881
31,1027.87,1644.19,34,0.40607,23.635,-0.0161019
32,972,1483.14,36,0.356876,22.798,-0.00915358
33,1389.54,1543.82,58,0.410812,23.217,-0.0231415
34,928.57,1257.12,21,0.45473,23.217,-0.0253583
35,1159.09,1357.4,30,0.479115,22.377,-0.0233848
36,1366.39,1289.08,27,0.495658,21.955,-0.0333576
37,1261.65,1206.38,29,0.506809,21.955,-0.0279067
38,1290,1566.99,38,0.3984,23.217,-0.0181897
39,2311.7,266.74,10,0.596723,21.531,-0.0542595
40,2350,465.25,16,0.613185,21.955,-0.0539028
41,2328,407.39,8,0.622586,22.377,-0.0551005
42,2126.34,479.38,10,0.606654,21.955,-0.0436858
43,2080,490.3,7,0.603304,21.955,-0.0454962
44,1990,500.15,14,0.589912,21.531,-0.0484387
45,1890,519.69,19,0.613185,21.955,-0.0468653
46,1850,546.98,16,0.596432,21.955,-0.0410975
47,1870,377.92,15,0.596723,21.955,-0.0450668
48,1840,99.91,9,0.587115,24.051,-0.0366838
49,2065.3,121.8,9,0.626545,26.521,-0.0591203
50,2210,114.16,9,0.657476,26.112,-0.0676636
51,2079.48,72.75,9,0.526173,28.14,-0.0633417
52,1420,1101.52,22,0.540734,22.377,-0.0407169
53,1540,1118.88,32,0.580938,21.955,-0.0324332
54,1640,1053.7,15,0.632695,22.377,-0.0532038
55,1657.38,1104.36,31,0.660637,21.955,-0.0511058
56,1421.2,995.77,24,0.571835,22.377,-0.0432219
57,1377.73,942.15,13,0.549614,22.377,-0.0411792
58,1555.95,962.38,25,0.592424,21.955,-0.0419989
59,1864.58,952.26,20,0.58642,21.955,-0.051301
60,1377.78,852.23,24,0.623392,21.531,-0.046977
61,1360.37,749.39,25,0.580938,21.531,-0.0358334
62,1343,642.21,24,0.603304,21.955,-0.0378971
63,1740.01,640.78,22,0.609947,21.955,-0.0487358
64,1660,617.58,9,0.588666,21.531,-0.0412133
65,1830,832.01,16,0.603304,21.531,-0.0457234
66,1840,711.73,21,0.606794,21.531,-0.0444422
67,1834.21,611.73,16,0.686871,21.531,-0.0689834
68,1590,1053.71,37,0.624765,22.377,-0.0563041
69,1653.04,859.46,26,0.585664,21.955,-0.0485155
70,1339.24,592.08,17,0.609947,21.955,-0.0411473
71,1478.61,519.98,20,0.603304,21.531,-0.0433057
72,1650,526.31,9,0.609947,21.531,-0.0452756
73,1809,541.91,11,0.609947,21.955,-0.0497276
74,1378.4,457.42,6,0.641549,21.531,-0.0457152
75,1397.18,363.42,8,0.642587,21.955,-0.056462
76,1650,458.89,13,0.593346,21.955,-0.0417571
