YEAR,SITE,TRANSECT,summer.kelp,prev.kelp,reef.cover,spring.kelp,wave,richness,linkdensity
2000,BULL,1,16,NA,65,552,NA,32,1.53125
2000,BULL,2,69,NA,79,NA,NA,34,1.264705882
2000,BULL,3,178,NA,73,521,NA,25,0.52
2000,BULL,4,0,NA,66,NA,NA,22,0.863636364
2000,BULL,5,4,NA,49,NA,NA,21,0.952380952
2000,BULL,6,72,NA,77,366,NA,24,0.375
2000,BULL,7,85,NA,44,NA,NA,28,1.285714286
2000,BULL,8,30,NA,62,NA,NA,20,0.9
2000,CARP,1,421,NA,80,0,NA,24,1.333333333
2000,CARP,2,34,NA,80,1122,NA,18,1.166666667
2000,CARP,3,0,NA,80,0,NA,15,1.133333333
2000,CARP,4,0,NA,80,0,NA,19,0.736842105
2000,CARP,5,0,NA,80,627,NA,13,1.230769231
2000,CARP,6,0,NA,80,0,NA,18,1.166666667
2000,CARP,7,0,NA,75,0,NA,17,1
2000,CARP,8,0,NA,80,0,NA,16,1.1875
2000,NAPL,1,0,NA,80,0,NA,29,0.896551724
2000,NAPL,2,0,NA,80,0,NA,32,0.78125
2000,NAPL,3,0,NA,80,0,NA,27,1.185185185
2000,NAPL,4,0,NA,79,0,NA,13,1.153846154
2000,NAPL,5,0,NA,80,0,NA,32,1.375
2000,NAPL,6,36,NA,80,0,NA,29,0.862068966
2000,NAPL,7,0,NA,80,0,NA,30,1.266666667
2000,NAPL,8,0,NA,80,0,NA,31,1.225806452
2001,ABUR,1,1110,NA,30,1255.5,NA,28,0.607142857
2001,ABUR,2,0,NA,55,1551.5,NA,27,0.814814815
2001,AHND,1,2,NA,48,NA,1.301752539,29,0.137931034
2001,AHND,2,97,NA,41,0,1.31903244,29,0.620689655
2001,AQUE,1,207,NA,75,0,1.308957962,30,0.566666667
2001,AQUE,2,98,NA,77,0,1.308957962,43,1.930232558
2001,AQUE,3,41,NA,23,0,1.382503715,34,1.617647059
2001,AQUE,4,147,NA,52,541,1.3385433,33,1.333333333
2001,AQUE,5,0,NA,79,751,1.3385433,34,1.764705882
2001,BULL,1,6,16,77,0,1.475117738,28,1.392857143
2001,BULL,3,24,178,77,0,1.475117738,30,1.033333333
2001,BULL,6,0,72,62,0,1.475117738,19,1.210526316
2001,CARP,1,314,421,80,0,NA,31,1.580645161
2001,CARP,2,0,34,80,0,NA,18,0.944444444
2001,CARP,3,0,0,80,0,NA,22,1.272727273
2001,CARP,4,0,0,78,0,NA,17,1.058823529
2001,CARP,5,0,0,80,0,NA,24,1.541666667
2001,CARP,6,0,0,69,0,NA,23,1.695652174
2001,CARP,7,0,0,80,0,NA,20,0.95
2001,CARP,8,0,0,80,0,NA,22,1.272727273
2001,GOLB,1,891,NA,37,6207.5,NA,30,1.133333333
2001,GOLB,2,495,NA,57,7656,NA,26,1
2001,IVEE,1,109,NA,80,15353.5,NA,28,1.321428571
2001,IVEE,2,190,NA,80,21839.5,NA,27,1.259259259
2001,MOHK,1,1024,NA,79,6721.5,NA,46,1.369565217
2001,MOHK,2,602,NA,77,7404.5,NA,33,1.121212121
2001,NAPL,1,0,0,80,0,NA,37,1.054054054
2001,NAPL,2,0,0,80,0,NA,36,0.861111111
2001,NAPL,3,0,0,80,0,NA,31,0.967741935
2001,NAPL,4,0,0,79,0,NA,28,1.285714286
2001,NAPL,5,2,0,80,0,NA,32,1.21875
2001,NAPL,6,0,36,80,0,NA,36,1.333333333
2001,NAPL,7,0,0,80,0,NA,33,1.303030303
2001,NAPL,8,0,0,80,0,NA,44,1.386363636
2002,ABUR,1,681,1110,11,256.5,0.643917912,21,0.80952381
2002,ABUR,2,31,0,10,256.5,NA,19,0.368421053
2002,AHND,1,0,2,2,NA,0.896745071,7,0
2002,AHND,2,350,97,67,6562.5,0.91542726,33,0.96969697
2002,AQUE,1,1048,207,80,38865,0.87779556,24,0.916666667
2002,AQUE,2,731,98,58,31598,0.87779556,35,1.314285714
2002,AQUE,3,1394,41,66,4193.5,0.934394441,21,0.952380952
2002,AQUE,4,493,147,62,7637,0.894577184,37,1.432432432
2002,AQUE,5,794,0,76,4630.5,0.894577184,34,1.205882353
2002,AQUE,6,734,NA,64,21216.5,0.896745071,21,0.619047619
2002,BULL,1,315,6,77,2918,1.214712773,38,1.447368421
2002,BULL,3,201,24,72,2837,1.214712773,22,0.636363636
2002,BULL,6,50,0,68,2450,1.214712773,28,0.107142857
2002,CARP,1,1398,314,80,0,0.579324553,30,1.366666667
2002,CARP,2,0,0,80,0,0.579324553,27,1.407407407
2002,CARP,3,0,0,80,0,0.579324553,26,1.192307692
2002,CARP,4,0,0,80,0,0.579324553,22,0.727272727
2002,CARP,5,0,0,80,0,0.548436944,23,1.434782609
2002,CARP,6,0,0,78,0,0.579324553,22,1.136363636
2002,CARP,7,12,0,80,0,0.579324553,28,1.464285714
2002,CARP,8,0,0,80,0,0.548436944,17,0.705882353
2002,GOLB,1,573,891,44,7609,0.406128833,28,0.928571429
2002,GOLB,2,921,495,44,9848,0.406128833,30,1.1
2002,IVEE,1,237,109,80,22588.5,0.63538822,23,1.130434783
2002,IVEE,2,95,190,80,24492,0.63538822,16,1.1875
2002,MOHK,1,315,1024,80,19324.5,NA,52,2.019230769
2002,MOHK,2,1457,602,80,18894.5,NA,40,1.225
2002,NAPL,1,48,0,80,0,0.691240992,40,1.175
2002,NAPL,2,69,0,80,0,0.658310633,54,1.462962963
2002,NAPL,3,6,0,80,0,0.658310633,40,1.45
2002,NAPL,4,0,0,80,0,0.658310633,37,1.432432432
2002,NAPL,5,54,2,80,0,0.658310633,46,1.608695652
2002,NAPL,6,0,0,76,0,0.658310633,36,1.166666667
2002,NAPL,7,69,0,80,0,0.658310633,50,1.6
2002,NAPL,8,8,0,77,0,0.658310633,57,1.49122807
2003,ABUR,1,48,681,0,0,0.912320283,22,0.454545455
2003,ABUR,2,0,31,0,0,NA,13,0.230769231
2003,AHND,1,0,0,0,NA,1.183205302,5,0
2003,AHND,2,249,350,57,0,1.208114888,27,1.407407407
2003,AQUE,1,1201,1048,80,17397.66667,1.093968735,41,1.463414634
2003,AQUE,2,1194,731,69,11813.66667,1.093968735,29,0.448275862
2003,AQUE,3,1040,1394,52,11258.33333,1.158203686,24,0.75
2003,AQUE,4,537,493,55,17754,1.108239305,37,1.513513514
2003,AQUE,5,807,794,80,21316,1.108239305,25,0.84
2003,AQUE,6,1011,734,73,17770.33333,1.117433596,21,0.666666667
2003,BULL,1,645,315,71,9370.333333,1.301786109,34,0.823529412
2003,BULL,3,250,201,80,11495,1.301786109,25,0.92
2003,BULL,6,731,50,78,13834,1.301786109,23,0.565217391
2003,CARP,1,1003,1398,80,0,0.966834253,33,1.272727273
2003,CARP,2,4,0,80,0,0.966834253,24,1.125
2003,CARP,3,232,0,80,0,0.966834253,33,1.787878788
2003,CARP,4,0,0,80,0,0.966834253,29,1.344827586
2003,CARP,5,0,0,80,0,0.87894023,24,1.583333333
2003,CARP,6,99,0,80,0,0.966834253,28,1.392857143
2003,CARP,7,48,12,79,0,0.966834253,33,1.515151515
2003,CARP,8,0,0,80,0,0.87894023,19,1
2003,GOLB,1,733,573,55,2167,0.918313023,27,1.333333333
2003,GOLB,2,1080,921,39,2829.666667,0.918313023,27,0.666666667
2003,IVEE,1,89,237,17,6887.333333,1.083897552,24,0.791666667
2003,IVEE,2,218,95,24,8342.333333,1.083897552,20,0.95
2003,MOHK,1,810,315,80,2736,NA,53,1.20754717
2003,MOHK,2,1554,1457,78,2799.666667,NA,41,0.682926829
2003,NAPL,1,714,48,80,3044.666667,1.166042492,36,1.25
2003,NAPL,2,1050,69,80,4618,1.061991681,39,1.128205128
2003,NAPL,3,364,6,80,576.5,1.061991681,36,1.25
2003,NAPL,4,400,0,80,576.5,1.061991681,27,0.62962963
2003,NAPL,5,950,54,80,258.5,1.061991681,43,0.88372093
2003,NAPL,6,269,0,78,258.5,1.061991681,44,1.568181818
2003,NAPL,7,549,69,80,258.5,1.061991681,32,0.6875
2003,NAPL,8,269,8,79,258.5,1.061991681,44,1.318181818
2004,ABUR,1,68,48,18,0,0.772851218,23,0.47826087
2004,ABUR,2,0,0,0,0,NA,9,0.111111111
2004,AHND,1,0,0,6,NA,0.916221736,12,0
2004,AHND,2,295,249,32,852,0.93643251,34,0.970588235
