Stream,Well,N,Chl,SR,SA
Adobe Creek,1,0,0.0094,105,26
Adobe Creek,5,1.00E-06,0.01,105,24
Adobe Creek,3,1.00E-04,0.0613,105,20
Adobe Creek,4,0.01,0.1003,105,23
Adobe Creek,2,1,0.2,105,20
Adobe Creek,1,0,0.0377,105,21
Adobe Creek,5,1.00E-06,0.0094,105,37
Adobe Creek,3,1.00E-04,0.033,105,29
Adobe Creek,2,0.01,0.608,105,24
Adobe Creek,4,1,0.9144,105,18
Buckeye Creek,5,0,0.1932,139,51
Buckeye Creek,2,1.00E-06,0.4,139,61
Buckeye Creek,4,1.00E-04,0.773,139,60
Buckeye Creek,3,0.01,6.594,139,63
Buckeye Creek,1,1,10.8361,139,66
Convict Creek,2,0,0.002,68,37
Convict Creek,5,1.00E-06,0.0047,68,14
Convict Creek,3,1.00E-04,0.0189,68,15
Convict Creek,1,0.01,0.0566,68,33
Convict Creek,4,1,0.14,68,5
Convict Creek,1,0,0.001,68,31
Convict Creek,4,1.00E-06,0.05,68,19
Convict Creek,3,1.00E-04,0.0943,68,13
Convict Creek,5,0.01,0.3299,68,25
Convict Creek,2,1,0.24,68,9
Cottonwood Creek,2,0,0.5845,47,12
Cottonwood Creek,1,1.00E-06,0.6673,47,11
Cottonwood Creek,3,1.00E-04,0.7494,47,24
Cottonwood Creek,4,0.01,0.7494,47,10
Cottonwood Creek,5,1,0.901,47,7
Cottonwood Creek,2,0,0.1744,47,21
Cottonwood Creek,4,1.00E-06,0.231,47,23
Cottonwood Creek,5,1.00E-04,0.1603,47,18
Cottonwood Creek,3,0.01,0.3555,47,18
Cottonwood Creek,1,1,0.6834,47,16
Gibbs Creek,2,0,0.1744,52,16
Gibbs Creek,5,1.00E-06,0.1037,52,17
Gibbs Creek,4,1.00E-04,0.0707,52,25
Gibbs Creek,1,0.01,0.1131,52,24
Gibbs Creek,3,1,0.1555,52,24
Glass Creek,3,0,0.1508,65,26
Glass Creek,5,1.00E-06,0.3,65,35
Glass Creek,1,1.00E-04,0.7683,65,37
Glass Creek,2,0.01,1.4847,65,40
Glass Creek,4,1,1.2,65,42
Harvey Creek,3,0,0.8625,112,36
Harvey Creek,5,1.00E-06,1.3527,112,54
Harvey Creek,4,0.01,1.4282,112,50
Harvey Creek,1,1,3.898,112,47
Lower Owens,4,0,0.0377,93,26
Lower Owens,2,1.00E-06,0.0189,93,22
Lower Owens,1,1.00E-04,0.0566,93,44
Lower Owens,3,0.01,0.1555,93,35
Lower Owens,5,1,0.6599,93,25
Lower Rock Creek,2,0,0.1932,108,58
Lower Rock Creek,1,1.00E-06,0.1744,108,62
Lower Rock Creek,5,1.00E-04,0.5,108,57
Lower Rock Creek,3,1,1.7345,108,55
Lee Vining Creek,1,0,0.1414,84,31
Lee Vining Creek,5,1.00E-06,0.0189,84,33
Lee Vining Creek,2,1.00E-04,0.0707,84,34
Lee Vining Creek,4,0.01,0.0754,84,37
Lee Vining Creek,3,1,0.0141,84,57
Little Walker R.,2,0,0.0848,56,17
Little Walker R.,4,1.00E-06,0.1744,56,16
Little Walker R.,5,1.00E-04,0.0189,56,14
Little Walker R.,3,0.01,0.0283,56,23
Little Walker R.,1,1,0.0754,56,18
McGee Creek,4,0,0.012,37,6
McGee Creek,3,1.00E-06,0.018,37,7
McGee Creek,1,1.00E-04,0.0613,37,9
McGee Creek,5,0.01,0.0754,37,27
McGee Creek,2,1,0.1603,37,11
Mill Creek,3,0,0.2027,69,22
Mill Creek,4,1.00E-06,0.1508,69,22
Mill Creek,5,1.00E-04,0.0283,69,26
Mill Creek,1,0.01,0.1508,69,28
Mill Creek,2,1,0.0801,69,33
Mammoth Creek,3,0,0.02,90,14
Mammoth Creek,4,1.00E-06,0.1,90,28
Mammoth Creek,5,1.00E-04,0.0566,90,37
Mammoth Creek,2,0.01,0.0848,90,26
