"UniDiveNum","Squid","DepthOMZ","Temp25m","UIwin","NOI","DayL","Strat","LatN","Hake","Loligo","Myct","SqMonth","SqYear","Distkm","ROV_ID","SquidCount","Effort","PDO","NPGO","LonW","DepthOLZ","tcline","tcstren","tcval","tcoxy","ocline","ocval","ocstren","octemp","date","month"
1210.1,0,419.43,13.228,-185,-2.977,9.83,96,36.702,40,2.677,3.636,13,1996,2.38,1,0,0.708,0.23,-1.6402,-122.047,298.98,121,0.31324372096533,11.184419767143,3.65742020799319,121,3.65742020799319,0.366829060793082,11.184419767143,1995-12-31,1
1207.1,0,438,13.153,-275,-2.977,9.804,96,36.703,0,0,0,13,1996,3.5,1,0,0.675,0.23,-1.6402,-122.064,309.09,91,0.215638831723361,12.2066664610486,4.70876779485312,90,4.76479785951971,0.243617511051886,12.2560069149626,1995-12-31,1
1209.1,0,441.27,13.187,-185,-2.977,9.826,80,36.706,108.462,19.31,36.61,13,1996,3.118,1,0,0.854,0.23,-1.6402,-122.055,324.8,97,0.369875924470958,11.8838851413593,4.26924737226437,94,4.47480270670866,0.302971111703201,12.1448339101947,1995-12-31,1
1214.1,0,466.93,12.844,11,6.571,10.083,62,36.704,25.532,2.697,0,14,1996,3.277,1,0,0.262,0.28,-1.1131,-122.059,285.8,56,0.449533742749532,11.5230309491442,4.09504497427363,56,4.09504497427363,0.444805963400908,11.5230309491442,1996-01-31,2
1236.1,0,431.96,10.1,3979,-0.95,12.534,54,36.678,142.785,0,0,4,1997,1.958,1,0,0.937,1.05,-0.5061,-122.06,179,47,0.147004110773919,9.67380350178203,4.02997473941294,49,3.87313516158274,0.337256111048489,9.60473702551017,1997-03-31,4
1229.1,0,484.85,10.49,3590,-0.95,12.139,98,36.689,1.209,34.86,0,4,1997,2.354,1,0,1.162,1.05,-0.5061,-122.061,187.73,75,0.125759943145738,9.82286046851739,3.38642533135774,69,3.75828374298862,0.277040299221154,9.99160053089363,1997-03-31,4
1232.1,0,477.62,10.027,3541,-0.95,12.295,20,36.712,20.105,8.372,1.124,4,1997,2.576,1,0,1.508,1.05,-0.5061,-122.059,178.21,22,0.155314466706724,10.1786053679133,4.20415861267031,22,4.20415861267031,0.23614268270938,10.1786053679133,1997-03-31,4
1247.1,0,430.08,10.206,4320,-4.599,13.364,41,36.7,42.062,0,22.268,5,1997,2.428,1,0,0.517,1.83,-0.8772,-122.051,149.84,42,0.219874819328243,9.65799031889399,3.7017352808233,44,3.58393356729717,0.258473890214679,9.55337666347342,1997-04-30,5
1253.1,0,496.39,12.253,3511,-4.599,13.7,29,36.703,3.504,0,2.308,5,1997,2.972,1,0,1.604,1.83,-0.8772,-122.056,284.8,24,0.390212068489882,12.0856298256923,6.55775727592808,36,5.85252237657088,0.280208703262807,11.0745994390134,1997-04-30,5
1273.1,0,539.02,9.865,5140,-2.225,14.507,55,36.694,178.065,0,68.571,6,1997,2.123,1,0,0.238,2.76,-0.9384,-122.053,287.68,22,0.284808976262763,10.2171698891883,4.16282004557117,22,4.16282004557117,0.516469012633309,10.2171698891883,1997-05-31,6
1272.1,0,502.135,10.03,4895,-2.225,14.504,24,36.703,16.765,0,3.516,6,1997,2.834,1,0,1.35,2.76,-0.9384,-122.054,269.885,22,0.33752195448727,10.292226390727,4.36365106550955,22,4.36365106550955,0.537010995940171,10.292226390727,1997-05-31,6
1277.1,0,524.96,10.517,5100,-0.972,14.479,34,36.704,66.401,2.915,4.317,7,1997,2.707,1,0,2.362,2.35,-0.7724,-122.049,289.415,24,0.379345220102632,10.7081162191131,4.08824595298048,26,3.9373321904072,0.333978179956764,10.5334722312766,1997-06-30,7
1281.1,0,511.49,11.228,4823,-0.972,14.418,23,36.713,0,0,0,7,1997,2.469,1,0,1.725,2.35,-0.7724,-122.061,267.65,31,0.495631127307294,10.7914961399511,4.11808861426162,22,5.02692807223357,0.48712766252443,11.7262517647689,1997-06-30,7
1275.1,0,553.82,10.814,5234,-0.972,14.521,35,36.793,0,0,0,7,1997,0.337,1,0,0.817,2.35,-0.7724,-122.003,241.28,23,0.59931856241174,10.9899064652818,5.05633170852309,22,5.22267494547108,0.692237355807006,11.13840716588,1997-06-30,7
1291.1,0,543.97,11.728,3571,-3.765,13.964,57,36.715,301.856,0,0,8,1997,2.094,1,0,0.588,2.79,-0.7858,-122.048,306.51,22,0.253672538220371,11.7501442843467,4.6434880133812,22,4.6434880133812,0.308459745189506,11.7501442843467,1997-07-31,8
1315.1,0,609.605,14.494,2643,-4.213,12.289,20,36.705,20.87,0,21,9,1997,3.053,1,0,0.758,2.19,-0.4815,-122.054,363.2,22,0.944320459191617,15.7373092918751,5.47689976920115,147,4.1216801342344,0.155238693561866,10.4142429938246,1997-08-31,9
