UIN,YEAR,SITE,TRANSECT,kelp,prev.kelp,kelp_plants,prev.kelp_plants,sand,urchins,spring_canopy,summer_canopy,mean_Max.OV,mean_Mean.OV
2000_BULL_1,2000,BULL,1,16,NA,7,NA,15,201,0,0,NA,NA
2000_BULL_2,2000,BULL,2,69,NA,7,NA,1,21,NA,NA,NA,NA
2000_BULL_3,2000,BULL,3,178,NA,6,NA,7,0,0,0,NA,NA
2000_BULL_4,2000,BULL,4,0,NA,2,NA,14,12,NA,NA,NA,NA
2000_BULL_5,2000,BULL,5,4,NA,2,NA,31,9,NA,NA,NA,NA
2000_BULL_6,2000,BULL,6,72,NA,36,NA,3,0,0,66.5,NA,NA
2000_BULL_7,2000,BULL,7,85,NA,12,NA,36,4,NA,NA,NA,NA
2000_BULL_8,2000,BULL,8,30,NA,15,NA,18,0,NA,NA,NA,NA
2000_CARP_1,2000,CARP,1,421,NA,42,NA,0,34,0,0,NA,NA
2000_CARP_2,2000,CARP,2,34,NA,3,NA,0,91,203,0,NA,NA
2000_CARP_3,2000,CARP,3,0,NA,2,NA,0,91,0,0,NA,NA
2000_CARP_4,2000,CARP,4,0,NA,2,NA,0,53,0,0,NA,NA
2000_CARP_5,2000,CARP,5,0,NA,2,NA,0,76,0,0,NA,NA
2000_CARP_6,2000,CARP,6,0,NA,2,NA,0,16,0,0,NA,NA
2000_CARP_7,2000,CARP,7,0,NA,2,NA,5,62,0,0,NA,NA
2000_CARP_8,2000,CARP,8,0,NA,2,NA,0,37,0,0,NA,NA
2000_NAPL_1,2000,NAPL,1,0,NA,2,NA,0,260,0,0,NA,NA
2000_NAPL_2,2000,NAPL,2,0,NA,2,NA,0,242,0,0,NA,NA
2000_NAPL_3,2000,NAPL,3,0,NA,2,NA,0,264,0,0,NA,NA
2000_NAPL_4,2000,NAPL,4,0,NA,2,NA,1,54,0,0,NA,NA
2000_NAPL_5,2000,NAPL,5,0,NA,2,NA,0,253,0,0,NA,NA
2000_NAPL_6,2000,NAPL,6,36,NA,6,NA,0,112,0,0,NA,NA
2000_NAPL_7,2000,NAPL,7,0,NA,2,NA,0,238,0,0,NA,NA
2000_NAPL_8,2000,NAPL,8,0,NA,2,NA,0,124,0,0,NA,NA
2001_ABUR_1,2001,ABUR,1,1110,NA,23,NA,50,0,0,0,NA,NA
2001_ABUR_2,2001,ABUR,2,0,NA,2,NA,25,0,0,0,NA,NA
2001_AHND_1,2001,AHND,1,2,NA,2,NA,32,0,0,0,0.709231836,0.280559324
2001_AHND_2,2001,AHND,2,97,NA,21,NA,39,39,0,0,0.727207764,0.292465724
2001_AQUE_1,2001,AQUE,1,207,NA,77,NA,5,0,0,0,0.736514628,0.305393586
2001_AQUE_2,2001,AQUE,2,98,NA,28,NA,3,16,0,0,0.736514628,0.305393586
2001_AQUE_3,2001,AQUE,3,41,NA,17,NA,57,27,0,0,0.774139946,0.324714358
2001_AQUE_4,2001,AQUE,4,147,NA,7,NA,28,55,249.5,0,0.752812964,0.315800014
2001_AQUE_5,2001,AQUE,5,0,NA,2,NA,1,162,0,0,0.752812964,0.315800014
2001_BULL_1,2001,BULL,1,6,16,4,7,3,135,0,0,0.81728869,0.334008289
2001_BULL_3,2001,BULL,3,24,178,10,6,3,9,0,0,0.81728869,0.334008289
2001_BULL_6,2001,BULL,6,0,72,2,36,18,37,0,0,0.81728869,0.334008289
2001_CARP_1,2001,CARP,1,314,421,42,42,0,66,0,0,NA,NA
2001_CARP_2,2001,CARP,2,0,34,2,3,0,205,0,0,NA,NA
2001_CARP_3,2001,CARP,3,0,0,2,2,0,181,0,0,NA,NA
2001_CARP_4,2001,CARP,4,0,0,2,2,2,591,0,0,NA,NA
2001_CARP_5,2001,CARP,5,0,0,2,2,0,250,0,0,NA,NA
2001_CARP_6,2001,CARP,6,0,0,2,2,11,366,0,0,NA,NA
